id,bone_length,rotting_flesh,hair_length,has_soul,color,type
0,0.3545121845821541,0.35083902671065004,0.4657608918291205,0.78114166586219,clear,Ghoul
1,0.5755599050254655,0.42586843221058457,0.5314013787091408,0.439898877037289,green,Goblin
2,0.46787549874232304,0.3543304203917748,0.8116160896689244,0.791224973337769,black,Ghoul
4,0.776652460655474,0.5087225499432287,0.6367655799597881,0.8844636920976973,black,Ghoul
5,0.56611660205779,0.8758617955062562,0.41859367087487964,0.6364378187279373,green,Ghost
7,0.405679744891883,0.253277496666039,0.44141967107268726,0.2803238199213896,green,Goblin
8,0.399330850860438,0.5689517671030597,0.6183910202674578,0.4679008345210921,white,Goblin
11,0.5162238981116547,0.5364287456984622,0.6127761465851604,0.4680482696484728,clear,Ghoul
12,0.31429527592019163,0.6712796900808566,0.41726691662628373,0.22754757509722512,blue,Ghost
19,0.2809417440979105,0.7014574929942134,0.17963329511685278,0.1411826507100036,white,Ghost
22,0.43168521333948123,0.43895927315934824,0.2392124879973941,0.4718195627187505,clear,Goblin
23,0.584543226402469,0.5930819356156424,0.6811657623420384,0.9357213331107027,clear,Ghoul
25,0.39071212859607146,0.33506939726257073,0.5561094618022101,0.7842165804203274,white,Ghoul
27,0.35155867209445324,0.47107817165725524,0.48445778172266796,0.46532788028449545,black,Goblin
28,0.5133872213931538,0.3013447615817322,0.7456755654684397,0.5457922990384892,clear,Goblin
29,0.5001965520236578,0.43841814543876834,0.5325298147689491,0.6655224296568855,clear,Ghoul
30,0.2507699997704333,0.24625768556485456,0.5546544421413162,0.25003551933346163,black,Ghost
31,0.5855593168709793,0.585938618841321,1.0,0.708691750060939,black,Ghoul
32,0.6058359561481175,0.5879431786674414,0.529361248889943,0.5267176472227212,blue,Ghoul
34,0.5240803802397399,0.750988138270072,0.5246370241727257,0.4433583431154124,green,Ghost
35,0.503164057832666,0.464055333613106,0.4977828029510476,0.4720310491885279,clear,Goblin
36,0.47260329382310035,0.4271505454280777,0.5901301905716715,0.35648823293322895,white,Ghoul
37,0.37444857379975705,0.3841831312845876,0.6758683607952992,0.41470033423958164,clear,Goblin
39,0.3433496058239474,0.39745002581190897,0.4788760240519573,0.6218228827390226,white,Ghoul
45,0.6872555002914946,0.30157616812728844,0.7619487306930753,0.5137787308603302,clear,Ghoul
47,0.2290099048694253,0.5673132984183307,0.37374341906750785,0.3296358811256823,white,Ghost
54,0.3885005478963415,0.3423058488540095,0.6696272909639486,0.5386486690149674,clear,Goblin
56,0.4924381032273604,0.6231972685456857,0.6048791200547257,0.37614152415248686,green,Goblin
58,0.4116626945454133,0.4540754660570032,0.40809715346480535,0.4329211406473242,white,Goblin
62,0.3041977859670044,0.2669042311479353,0.5272248823714463,0.3867134123693171,clear,Goblin
69,0.6729770643554356,0.6204785539163591,0.4357144772611028,0.3287165853781181,clear,Ghoul
70,0.46509394781133084,0.43932324862189254,0.24933710563098957,0.19738179003661213,green,Ghost
71,0.5545095992350249,0.6306693955812395,0.5924842265783549,0.61536431261308,white,Goblin
72,0.5237285619471904,0.31848278119593226,0.3301456396587741,0.4274020872726478,green,Goblin
73,0.5581960768300526,0.5803627234695455,0.7727343677011607,0.3707403331814098,black,Ghoul
75,0.4563710403972941,0.45620752224678707,0.2363315402934902,0.3004857328309415,blue,Ghost
79,0.3949581951173462,0.5739411817580686,0.47909415185511994,0.4826926871359688,white,Ghost
80,0.6363467701119719,0.501060729410613,0.7377953702344142,0.6955887530369675,clear,Ghoul
82,0.5642817569821001,0.41950013299976563,0.6829307073109625,0.4726900403323142,white,Ghoul
84,0.28805009766766265,0.6037797214759668,0.47395616416006503,0.4082938233981211,black,Ghost
85,0.4151096964698842,0.4346160392215713,0.7074692453944934,0.5263188963457769,white,Ghoul
86,0.4569351560214406,0.6271412086659317,0.46379364678999935,0.4362160533497054,black,Ghost
88,0.5342663533189846,0.5695044916511958,0.5066109316216567,0.2683154656682969,white,Ghost
89,0.3849579750034331,0.6157316442049253,0.5695446230585894,0.4552847774447461,black,Goblin
90,0.31414287733865465,0.4217514012433346,0.6908889547102464,0.43524494888973564,white,Ghoul
91,0.28719318641798197,0.5308524632922635,0.4667249454869934,0.2999927060981274,green,Goblin
93,0.4817163588057449,0.5272508210222587,0.7402698805197881,0.7008569048181902,blood,Ghoul
94,0.268141288100927,0.6652239196235308,0.23494383203814515,0.32162260967694833,clear,Ghost
95,0.3628871069153425,0.64872488487384,0.6311837728986085,0.44504547881067963,clear,Goblin
96,0.2952291420624456,0.33180937850829545,0.5868540657573691,0.4908787937274375,clear,Goblin
103,0.5716187693902656,0.4319547492504906,0.6413094293590536,0.4622948816175269,black,Ghoul
107,0.4954670559912866,0.5518773502059889,0.8093298419777889,0.9077121347405334,green,Ghoul
109,0.44513171666434725,0.9324660949062563,0.21873154170152512,0.043321200925586806,clear,Ghost
111,0.6276523661689718,0.840049257185007,0.4148160632278105,0.48861720807709846,green,Goblin
113,0.39725802590072606,0.6729848049771036,0.5516643383579455,0.15936700436484483,white,Ghost
115,0.6785187395803213,0.47682100264543087,0.477151808358027,0.4893578586829505,blue,Goblin
118,0.30430152619848083,0.4630147238334417,0.38538685577853626,0.21931252759442532,clear,Ghost
119,0.5152749837361404,0.5826271870287086,0.5687211851289684,0.5340786157865054,clear,Goblin
125,0.5042364852535262,0.6207580903425556,0.3410744137269793,0.3485782632164919,black,Ghost
128,0.5126766858793707,0.4174737785189097,0.678072186028185,0.7963323704355315,white,Ghoul
129,0.622413651059006,0.4976141148296257,0.4654186935799081,0.45914075492345796,clear,Goblin
130,0.2086251737392714,0.5192351448449374,0.6195587471733435,0.2921310204613237,green,Goblin
